Sağlık Tesisi Adı;Tesis Türü;X Koordinatı;Y Koordinatı
ÇUMRA İÇERİÇUMRA AİLE SAĞLIĞI MERKEZİ;ASM;37.571899;32.657544
ÇUMRA KARKIN AİLE SAĞLIĞI MERKEZİ;ASM;37.674105;32.892880
DERBENT MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;38.013816;32.009958
DEREBUCAK MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;37.390889;31.503667
DOĞANHİSAR 02 NOLU HARMAN AİLE SAĞLIĞI MERKEZİ;ASM;38.146974;31.674105
DOĞANHİSAR BAŞKÖY AİLE SAĞLIĞI MERKEZİ;ASM;38.138852;31.759536
DOĞANHİSAR KARAAĞA AİLE SAĞLIĞI MERKEZİ;ASM;38.182597;31.612188
EMİRGAZİ MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;37.890669;33.830461
EREĞLİ 01 NOLU KAZANCI AİLE SAĞLIĞI MERKEZİ;ASM;37.508511;34.057969
EREĞLİ 03 NOLU ABDULLAH ÖZDOĞAN AİLE SAĞLIĞI MERKEZİ;ASM;37.523119;34.047600
EREĞLİ 04 NOLU CAHİ AİLE SAĞLIĞI MERKEZİ;ASM;37.522891;34.034366
EREĞLİ 05 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.519069;34.058297
EREĞLİ 06 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.504752;34.043075
EREĞLİ 07 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.500736;34.057080
EREĞLİ 09 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.495436;34.044619
EREĞLİ AZİZİYE AİLE SAĞLIĞI MERKEZİ;ASM;37.646516;34.280430
EREĞLİ BELKAYA AİLE SAĞLIĞI MERKEZİ;ASM;37.915169;33.914816
EREĞLİ ZENGEN AİLE SAĞLIĞI MERKEZİ;ASM;37.819738;34.242502
GÜNEYSINIR MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;37.281061;32.720394
HADİM BADEMLİ AİLE SAĞLIĞI MERKEZİ;ASM;37.022708;32.667447
HADİM KORUALAN AİLE SAĞLIĞI MERKEZİ;ASM;37.004444;32.331666
HADİM MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;36.988233;32.460413
HALKAPINAR MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;37.436374;34.190366
HÜYÜK 02 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.951530;31.600049
HÜYÜK MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;37.951297;31.600100
HÜYÜK SELKİ AİLE SAĞLIĞI MERKEZİ;ASM;37.883711;31.690913
ILGIN 01 NOLU FATİH AİLE SAĞLIĞI MERKEZİ;ASM;38.276350;31.898830
ILGIN 02 NOLU CAMİATİK AİLE SAĞLIĞI MERKEZİ;ASM;38.280563;31.913202
ILGIN 03 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;38.280519;31.908647
ILGIN AŞAĞIÇİĞİL AİLE SAĞLIĞI MERKEZİ;ASM;38.051499;31.867163
KADINHANI ATLANTI AİLE SAĞLIĞI MERKEZİ;ASM;38.436769;32.160541
KADINHANI MERKEZ KARAKAYA AİLE SAĞLIĞI MERKEZİ;ASM;38.240722;32.206655
KADINHANI OSMANCIK AİLE SAĞLIĞI MERKEZİ;ASM;38.185152;32.147352
KARAPINAR 01 NOLU AMİL ÖNAL AİLE SAĞLIĞI MERKEZİ;ASM;37.714116;33.540013
KARAPINAR 03 NOLU MUSTAFA AKKAYA AİLE SAĞLIĞI MERKEZİ;ASM;37.726208;33.550352
KARAPINAR HOTAMIŞ AİLE SAĞLIĞI MERKEZİ;ASM;37.639197;33.316572
KARAPINAR KAYALI AİLE SAĞLIĞI MERKEZİ;ASM;37.852474;33.726686
KARAPINAR YEŞİLYURT AİLE SAĞLIĞI MERKEZİ;ASM;37.776024;33.732174
KARATAY 02 NOLU ULUBATLI HASAN AİLE SAĞLIĞI MERKEZİ;ASM;37.897694;32.513011
KARATAY 03 NOLU HASAN YUMRUTAŞ AİLE SAĞLIĞI MERKEZİ;ASM;37.867077;32.519947
KARATAY 08 NOLU İSTİKLAL AİLE SAĞLIĞI MERKEZİ;ASM;37.846777;32.544163
KARATAY 15 NOLU SELİM SULTAN AİLE SAĞLIĞI MERKEZİ;ASM;37.839438;32.516277
KARATAY 16 NOLU SEDİRLER AİLE SAĞLIĞI MERKEZİ;ASM;37.888277;32.526074
KARATAY 21 NOLU İŞGALAMAN AİLE SAĞLIĞI MERKEZİ;ASM;37.876294;32.522427
KARATAY 27 NOLU ZEMBURİ AİLE SAĞLIĞI MERKEZİ;ASM;37.875647;32.497972
KARATAY 37 NOLU KARŞEHİR AİLE SAĞLIĞI MERKEZİ;ASM;37.872041;32.543444
KARATAY 41 NOLU AZİZİYE AİLE SAĞLIĞI MERKEZİ;ASM;37.871952;32.500911
KARATAY 42 NOLU KALENDERHANE AİLE SAĞLIĞI MERKEZİ;ASM;37.882138;32.499124
KARATAY 43 NOLU YEDİLER AİLE SAĞLIĞI MERKEZİ;ASM;37.888822;32.514616
KARATAY 50 NOLU ÇATALHÜYÜK AİLE SAĞLIĞI MERKEZİ;ASM;37.795966;32.532002
KARATAY 52 NOLU KARBEL AİLE SAĞLIĞI MERKEZİ;ASM;37.855938;32.538375
KARATAY 60 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.878044;32.501333
KARATAY 72 NOLU FETİH AİLE SAĞLIĞI MERKEZİ;ASM;37.860377;32.523850
KARATAY 74 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.877263;32.528308
KARATAY 79 NOLU BÜSAN AİLE SAĞLIĞI MERKEZİ;ASM;37.911688;32.549211
KARATAY 84 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.868022;32.539213
KARATAY 88 NOLU HAVANA İNCE-IŞIL GÜRSOY AİLE SAĞLIĞI MERKEZİ;ASM;37.897931;32.530936
KARATAY E TİPİ KAPALI CEZAEVİ AİLE SAĞLIĞI MERKEZİ;ASM;37.865933;32.546527
KARATAY İSMİL AİLE SAĞLIĞI MERKEZİ;ASM;37.723272;33.042433
KARATAY KIZÖREN AİLE SAĞLIĞI MERKEZİ;ASM;38.140086;33.175430
KARATAY OVAKAVAĞI AİLE SAĞLIĞI MERKEZİ;ASM;37.711008;32.928808
KARATAY YARMA AİLE SAĞLIĞI MERKEZİ;ASM;37.811536;32.879069
KULU 01 NOLU KARŞIYAKA AİLE SAĞLIĞI MERKEZİ;ASM;39.095149;33.081211
KULU 02 NOLU KEMALİYE AİLE SAĞLIĞI MERKEZİ;ASM;39.084444;33.077222
KULU CANIMANA ŞEHİT JANDARMA ER MUSA DİNÇ AİLE SAĞLIĞI MERKEZİ;ASM;39.238250;32.854955
KULU KOZANLI AİLE SAĞLIĞI MERKEZİ;ASM;39.063691;32.820430
KULU TAVŞANÇALI AİLE SAĞLIĞI MERKEZİ;ASM;38.933944;33.002519
MERAM 04 NOLU HASANKÖY AİLE SAĞLIĞI MERKEZİ;ASM;37.826561;32.490086
MERAM 10 NOLU ÖĞRETMEN FAZİLET ULUIŞIK AİLE SAĞLIĞI MERKEZİ;ASM;37.866386;32.448608
MERAM 13 NOLU GAZİALEMŞAH AİLE SAĞLIĞI MERKEZİ;ASM;37.868036;32.484083
MERAM 18 NOLU MEHMET KATIRCI AİLE SAĞLIĞI MERKEZİ;ASM;37.848857;32.472522
MERAM 19 NOLU HARMANCIK AİLE SAĞLIĞI MERKEZİ;ASM;37.829394;32.446391
MERAM 25 NOLU ŞÜKRİYE SERT AİLE SAĞLIĞI MERKEZİ;ASM;37.876269;32.448827
MERAM 29 NOLU ABİDİN VE SANİYE ERÇAL AİLE SAĞLIĞI MERKEZİ;ASM;37.859855;32.482297
MERAM 30 NOLU NECLA DURAN SEZER AİLE SAĞLIĞI MERKEZİ;ASM;37.865086;32.466250
MERAM 32 NOLU YAYLAPINAR AİLE SAĞLIĞI MERKEZİ;ASM;37.801536;32.499594
MERAM 35 NOLU FAHRÜNNİSA AİLE SAĞLIĞI MERKEZİ;ASM;37.857655;32.499644
MERAM 38 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.834766;32.467391
MERAM 44 NOLU HAYRİYE VE HASAN KORKMAZ AİLE SAĞLIĞI MERKEZİ;ASM;37.855833;32.489444
MERAM 45 NOLU HAVVA VE MEMİŞ KOÇAK AİLE SAĞLIĞI MERKEZİ;ASM;37.767013;32.508324
MERAM 47 NOLU ÖZCAN ÇALIKUŞU AİLE SAĞLIĞI MERKEZİ;ASM;37.860138;32.427380
MERAM 53 NOLU ERTUĞRULGAZİ AİLE SAĞLIĞI MERKEZİ;ASM;37.838589;32.488004
