Eczane Adı;İletişim No;Enlem;Boylam;Adres
UYSAL;0 - (543) 494 - 1698;38.145955;31.67675;Kuz Mah. 84815. Sok. No:4/1
BİRLİK;0 - (332) 747 - 2138;37.903284;33.835814;Camikebir Mahallesi Milli Egemenlik Caddesi No:37A
ONUR KOCAMAN;0 - (332) 220 - 0087;37.89442;33.8341509;Akmescit Mahallesi 87021.Sokak No:2C
PINAR;0 - (332) 713 - 3850;37.5092471;34.0570542;Kazancı Mahallesi Küsere Köprü Caddesi No:38A
SANCIOĞLU;0 - (332) 712 - 9495;37.5074019;34.0433349;Üçgöz Mahallesi Bestekar Mustafa Seyran Caddesi Denizoğlu Konakları A Blok No:67F
ŞENTÜRK;0 - (332) 710 - 4121;37.5023289;34.0602333;Türbe Mahallesi Vatan Caddesi Berat Apartmanı No:29B
GÜLİN;0 - (332) 710 - 2656;37.512316;34.048806;Toros Mahallesi Şehit Metin Düzgün Caddesi No:16A-16B
YETKİN;0 - (332) 712 - 8227;37.512316;34.048806;Barbaros Mahallesi Anafartalar Caddesi Dirik Sitesi A Blok 2A
KAYMAKLAR;0 - (332) 712 - 6594;37.5151723;34.048131;Boyacıali Mahallesi 90000. Sokak No:63
İBNİ SİNA;0 - (332) 712 - 2695;37.512316;34.048806;Alpaslan Mahallesi 90054. Sokak No:1B
KAYA;0 - (332) 712 - 7829;37.512316;34.048806;Toros Mahallesi Şehit Fikret Aksungur Caddesi No:11A
ONUR;0 - (332) 710 - 5555;37.5092348;34.0520675;Hacımutahir Mahallesi Sümerbank Caddesi No:6D
GÜLBAHÇE;0 - (332) 710 - 5776;37.5074019;34.0433349;Üçgöz Mahallesi Bestekar Mustafa Seyran Caddesi Denizoğlu Konakları B Blok No:67A
SIHHAT;0 - (332) 713 - 2064;37.512316;34.048806;Hacımutahir Mahallesi Atatürk Caddesi Özdoğan Apartmanı No:57B
MELTEM;0 - (332) 713 - 3160;37.5122755;34.0485226;Hacımutahir Mahallesi Rasim Erel Caddesi No:2-D
TURAN;0 - (332) 713 - 2286;37.512316;34.048806;Sümer Mahhalesi Sümerbank Caddesi Mini Köşk Apartmanı altı No:3A
ÜMİT;0 - (332) 710 - 4826;37.522333;34.0270591;Cahı Mahallesi Şehit Murat Akutay Caddesi Garkent Apartmanı No:63B
ZAFER;0 - (332) 710 - 1210;37.522333;34.0270591;Cahı Mahallesi Şehit Murat Akutay Caddesi Garkent Apartmanı No:63A
HUZUR;0 - (332) 713 - 0143;37.5074147;34.0493804;Hacımutahir Mahallesi Rasim Erel Caddesi Hacı Adem Yerli Kaya İşhanı No:3B
SAĞLIK;0 - (332) 710 - 4301;37.5069709;34.0531605;Hacımutahir Mahallesi Sümerbank Caddesi Arıcan Apartmanı No:4B
ENDER;0 - (332) 710 - 3040;37.5210791;34.048131;Hacımustafa Mahallesi 91118. Sokak No:22
EKİCİ;0 - (332) 713 - 1472;37.9624121;32.4902995;Ereğli Mahallesi Şehit Metin Düzgün Caddesi No:26/1
UÇAK;0 - (332) 712 - 8608;37.5069928;34.0460424;Hacımutahir Mahallesi Sümerbank Caddesi Sayraç Apartmanı No:8B
SEVGİ;0 - (332) 710 - 1233;37.5048109;34.0599654;Türbe Mahallesi Vatan Caddesi Şen Apartmanı No:36B
ARMAĞAN;0 - (332) 713 - 3231;37.5069928;34.0460424;Hacımutahir Mahallesi Atatürk Caddesi No:65B
AKYILDIZ;0 - (332) 712 - 0040;37.4567464;34.0543815;Toros Mahallesi Toki Caddesi No:17A
İstasyon;0 - (507) 111 - 1070;37.5053806;34.0488617;Kazancı Mahallesi 90312. Sk. Soysal Apt. No:1A
EDA;0 - (539) 450 - 5927;37.502073;34.0426315;Gülbahçe Mahallesi Alparslan Türkeş Caddesi No:3A
ERDEN;0 - (542) 441 - 1084;37.4963841;34.0299318;Pirömer Nahallesi üçgöz Caddesi Tuvana İş Merkezi No:16B
YÜCEL;0 - (332) 710 - 5333;37.9624121;32.4902995;Toros Mahallesi Şehit Metin Düzgün Caddesi No:20A-20
BİLGE MELEK ŞEN;0 - (332) 713 - 0022;37.9624121;32.4902995;Toros Mahallesi Şehit Metin Düzgün Caddesi No:22
YENTÜRK;0 - (332) 710 - 1600;37.512316;34.048806;Toros Mahallesi Şehit Metin Düzgün Caddesi No:12A-12B
Fakülte;0 - (332) 712 - 4664;37.512316;34.048806;Kazancı Mah. Küsere Köprü Cad. Tophanoğlu Apt.Altı No:44/A
AYRANCI;0 - (332) 713 - 2063;37.5068724;34.0493513;Hacımutahir Mahallesi Rasim Erel Caddesi Melek Apartmanı No:16B
HAYAT;0 - (332) 710 - 1031;37.5153716;34.0531843;Eti Mahallesi Meydanbaşı Caddesi T.Dalbudak Apartmanı No:8D
TOROS;0 - (332) 713 - 4919;37.5156186;34.0501098;Boyacıali Mahallesi Dr.Faruk Sükan Caddesi No:24
YÜCELEN;0 - (332) 710 - 5303;37.4881367;34.0715645;Hacımutahir Mahallesi Rasim Erel Caddesi Hilmi Bey Apartmanı Şehirkent Psj.No:10E
DEMİRTAŞ;0 - (332) 710 - 2626;37.522333;34.0270591;Cahı Mahallesi Şehit Murat Akutay Caddesi Aksoy Apartmanı No:61E
EYLÜL;0 - (332) 713 - 8877;37.5106503;34.0560266;Kazancı Mahallesi Küsere Köprü Caddesi Topanoğlu Apartmanı No:44B
IHLAMUR;0 - (332) 710 - 3535;37.522333;34.0270591;Cahı Mahallesi Şehit Murat Akutay Caddesi Dursun Cömert Apartmanı No:65A
DİNÇ;0 - (332) 712 - 3115;37.5113554;34.0453462;Pirömer Mahallesi Atatürk Caddesi No:75
BAHAR;0 - (332) 712 - 5224;37.5151723;34.048131;Boyacıali Mahallesi 90000.Sokak No:3A
PELİN;0 - (332) 712 - 2329;37.512316;34.048806;Mehmet Akif Mahallesi Alparslan Türkeş Caddesi Tek Yurt \nApartmanı A Blok No:57A
KARATAŞ;0 - (332) 712 - 4741;37.512316;34.048806;Barbaros Mahallesi Anafartalar Caddesi Dirlik Sitesi C Blok No:10F
YASEMİN;0 - (332) 710 - 2055;37.512316;34.048806;Talatpaşa Mahallesi Kazım Karabekir Caddesi Şelale Apt. No:69B
MAHİR;0 - (332) 713 - 9098;37.50487;34.0488417;Gülbahçe Mahallesi Rasim Erel Caddesi Pınar Apartmanı A Blok No:68B
EGE;0 - (332) 710 - 0408;37.512316;34.048806;Talatpaşa Mahallesi Kazım Karabekir Cad. Yılmaz Topbaş Apt. B Blok No:70B
ŞİFA;0 - (332) 716 - 2376;37.918403;33.91287;Belkaya Mahallesi Meydan İçi No:4
YILDIRIM;0 - (332) 713 - 2378;37.512316;34.048806;Selçuklu Mahallesi Atatürk Caddesi Ergin Apartmanı No:46A
ÖZDEMİR;0 - (332) 713 - 2146;37.5164089;34.0506367;Alpaslan Mahallesi Dr. Faruk Sükan Caddesi No:50
ÖZDOĞAN;0 - (332) 710 - 0088;37.5015435;34.0584349;Türbe Mahallesi Vatan Caddesi No:40A-40B
HACETTEPE;0 - (332) 712 - 6067;33.4010291;44.3966322;Hacımustafa Mahallesi 91114.Sokak Sümer Apartmanı No:22A
ERCAN;0 - (332) 710 - 2040;37.5080874;34.0589418;Eti Mahallesi Küsere Köprü Caddesi No:53A
BAŞAK;0 - (332) 710 - 4245;37.5106503;34.0560266;Kazancı Mahallesi Küsere Köprü Caddesi İlknaz Ada Apartmanı No:42A
DERMAN;0 - (332) 713 - 1320;36.8165059;34.627923;Boyacıali Mahallesi 90005.Sokak No:6
EREĞLİ;0 - (332) 712 - 4941;37.512316;34.048806;Selçuklu Mahallesi Atatürk Caddesi Halil Cesur Apartmanı No:56B
ÖZLEM;0 - (332) 713 - 0771;37.512316;34.048806;Toros Mahallesi Şehit Metin Düzgün Caddesi No:18A
HAKAN;0 - (531) 272 - 0137;37.5095499;34.0479028;Hacı Mütahir Mah. Dr. Rauf Denktaş Kıbrıs Cad. No: 16B
SAMURLU;0 - (332) 710 - 1045;37.512316;34.048806;Talatpaşa Mah. Kazım Karabekir Cad. Topbaş Apt. No:67D
LOKMAN HEKİM;0 - (332) 777 - 0042;37.5223133;34.0475659;Hacı Mustafa Mahallesi Zümrüt Sokak No:20A
VEZİROĞLU;0 - (332) 471 - 2040;37.2811;32.717358;Mevlana Mahallesi Mevlana Caddesi No:115A
KÖSEOĞLU FERAH;0 - (332) 471 - 2571;37.2811;32.717358;Mevlana Mahallesi Mevlana Caddesi No:113D
KOZAN;0 - (332) 418 - 1744;37.900449;32.4872609;Taşpınar Mahallesi Hadimi Caddesi No:6B
MEHMET;0 - (332) 246 - 1444;37.900817;32.4872919;Taşpınar Mahallesi Hadimi Caddesi No:10C
GÜLÇİN;0 - (332) 771 - 2445;37.4335158;34.1878359;Bahçelievler Mahallesi Şehit Cihangir Tok Caddesi No:23
ŞİFA;0 - (332) 543 - 1034;37.9518276;31.5993377;Ulupınar Mahallesi Fatih Caddesi No:27D
DERYA;0 - (332) 543 - 1366;37.951279;31.599333;Bahçelievler Mahallesi 110216. Sokak No:9A
ERGÜL;0 - (332) 512 - 4447;37.9528459;31.598001;Bahçelievler Mahallesi 110214. Sokak No:10A
BİLİR;0 - (332) 543 - 2007;37.951279;31.599333;Bahçelievler Mahallesi 110222. Sokak No:5
YASİN;0 - (332) 547 - 4046;37.7626487;30.553705;Kıreli Mahallesi Isparta Çevre Yolu Caddesi No:1500/2
HÜYÜK;0 - (332) 543 - 1255;37.9523723;31.5983189;Bahçeli Evler Mah. Yıldırım Beyazıt Cad. No:2A
ALTINIŞIK;0 - (332) 882 - 8121;38.2790949;31.8918364;Fahrettin Altay Mahallesi  115829. Sokak No:3E
DİVRİK;0 - (332) 882 - 5303;38.2790949;31.8918364;Fahrettin Altay Mahallesi 115829. Sokak No:3
ÖZLEM;0 - (332) 881 - 3300;38.2790949;31.8918364;Fahrettin Altay Mahallesi 115829. Sokak No:3C
ÖZKARA;0 - (332) 881 - 3233;38.2811608;31.9078398;Fatih Mahallesi Dr. Vehbi Kütükçü Caddesi No:24B
DERMAN;0 - (332) 881 - 3070;38.2812883;31.9078096;Fatih Mahallesi Dr. Vehbi Kütükçü Cad. No:26B
ÇINARKAYA;0 - (332) 882 - 6727;38.2790949;31.8918364;Fahrettin Altay Mahallesi 115829. Sokak No:3A
ÇİĞİL;0 - (332) 886 - 2031;38.0518705;31.8448745;Çiğil Mahallesi 121200. Sokak No:4B
ILGIN;0 - (332) 881 - 6021;38.2811608;31.9078398;Fatih Mahallesi Dr. Vehbi Kütükçü Caddesi No:24E
EBRU;0 - (332) 882 - 7838;38.2818722;31.915621;Camiiatik Mahallesi Nevzat İspir Caddesi No:24
HALK;0 - (332) 881 - 6226;38.2816363;31.9174863;Camiiatik Mahallesi Nevzat İspir Caddesi No:1A
SERİN;0 - (332) 881 - 6585;38.2817988;31.9153422;Camiiatik Mahallesi Nevzat İspir Caddesi No:44
ERTEN;0 - (332) 882 - 5139;38.2818181;31.9155311;Camiiatik Mahallesi Nevzat İspir Caddesi No:34A
GÜRBÜZ;0 - (332) 881 - 2666;38.280412;31.9149595;Camiiatik Mahallesi Muhsin Yazıcıoğlu Caddesi Caddesi No:100
YÖRÜKOĞLU;0 - (332) 882 - 8100;38.2790949;31.8918364;Fahrettin Altay Mahallesi 115829. Sokak No:3G
SEVGİ;0 - (332) 881 - 3742;38.2819118;31.917084;Camiiatik Mahallesi Nevzat İspir Caddesi No:26
KARAKUŞ;0 - (332) 882 - 5005;38.2790949;31.8918364;Fahrettin Altay Mah. 115829 Sok. No:3B
HAZAL;0 - (332) 881 - 2222;38.2792237;31.9127316;Camiiatik Mahallesi Muhsin Yazıcıoğlu Caddesi No:144A
2023;0 - (332) 881 - 2023;38.2790949;31.8918364;Fahrettin Altay Mahallesi 115828. Sokak No:4A
